+------+------------------------------------------------+------------+----------+----------+----------+-------+---------+--------+---------+---------+
| Rank |                    Function                    | Complexity |   Prel   |    a0    |    a1    |   a2  |  -logL  | AIFeyn | Codelen |   L(D)  |
+------+------------------------------------------------+------------+----------+----------+----------+-------+---------+--------+---------+---------+
|  1   |             a0 + sqrt(x**2 + 2*x)              |     9      | 8.88e-01 |  -0.06   |    --    |   --  | -2017.7 |  14.5  |   3.1   | -2000.0 |
|  2   |         a0 + sqrt(x)*sqrt(Abs(a1 + x))         |     8      | 9.27e-02 |  -0.06   |   1.97   |   --  | -2017.9 |  12.9  |   7.3   | -1997.8 |
|  3   |        a1 + x - pow(Abs(a0),(sqrt(x)))         |     8      | 5.55e-03 |   0.26   |   0.95   |   --  | -2017.9 |  12.9  |   10.1  | -1995.0 |
|  4   |           (a0 - x)*(a1 - pow(x,a2))            |     9      | 3.30e-03 | 3.1e-03  |  -0.71   | -0.53 | -2019.7 |  14.5  |   10.7  | -1994.4 |
|  5   |            -a1*(a2 - x) + pow(x,a0)            |     9      | 2.39e-03 |   0.39   |   0.79   |  0.12 | -2020.9 |  14.5  |   12.3  | -1994.1 |
|  6   |          -a2*x + pow(Abs(a0 - x),a1)           |     9      | 2.04e-03 | 5.5e-03  |   0.48   | -0.71 | -2019.1 |  14.5  |   10.6  | -1994.0 |
|  7   |   x/pow(Abs(a0),(pow(Abs(a1),(pow(x,a2)))))    |     9      | 1.66e-03 |   0.04   |  -0.16   |  0.33 | -2018.1 |  12.5  |   11.9  | -1993.8 |
|  8   |          x*(a0 + pow(Abs(a1 + x),a2))          |     9      | 1.53e-03 |   0.71   |   0.01   | -0.53 | -2018.7 |  14.5  |   10.6  | -1993.7 |
|  9   |  x + pow(Abs(a0),(pow(Abs(a1),(pow(x,a2)))))   |     9      | 6.51e-04 | 7.0e-06  |   0.03   |  0.17 | -2016.7 |  12.5  |   11.4  | -1992.8 |
|  10  |          x + exp(a0 - 1/pow(x,(1/4)))          |     9      | 5.46e-04 |   0.57   |    --    |   --  | -2014.0 |  17.5  |   3.9   | -1992.6 |
|  11  |            x + exp(a0 - pow(x,a1))             |     8      | 3.98e-04 |   0.59   |  -0.25   |   --  | -2015.4 |  14.3  |   8.7   | -1992.3 |
