+------+-----------------------------------------------------+------------+----------+----------+----------+---------+--------+---------+--------+---------+---------+
| Rank |                       Function                      | Complexity |   Prel   |    a0    |    a1    |    a2   |   a3   |  -logL  | AIFeyn | Codelen |   L(D)  |
+------+-----------------------------------------------------+------------+----------+----------+----------+---------+--------+---------+--------+---------+---------+
|  1   |             a0*(x + pow(Abs(a1 + x),a2))            |     9      | 9.33e-01 |   0.84   |  -0.02   |   0.38  |   --   | -1279.1 |  14.5  |   14.0  | -1250.6 |
|  2   |         x + pow(Abs(a0 + pow(Abs(a1),x)),a2)        |     9      | 6.44e-02 |  -0.99   |   0.64   |   0.36  |   --   | -1279.9 |  12.5  |   19.6  | -1247.9 |
|  3   |       pow(Abs(a0),(-a3 + pow(Abs(a1 - x),a2)))      |     9      | 1.96e-03 | -1.4e+02 |   0.02   |   0.14  |  0.89  | -1276.4 |  12.5  |   19.5  | -1244.4 |
|  4   |             x + pow(Abs(a0*(a1 + x)),a2)            |     9      | 1.35e-04 |   0.35   |  -0.02   |   0.34  |   --   | -1268.9 |  14.5  |   12.7  | -1241.7 |
|  5   |        pow(Abs(a0 - pow(Abs(a1 - x),a2)),a3)        |     9      | 1.04e-05 |  -0.30   |   0.02   |   0.42  |  2.14  | -1271.1 |  12.5  |   19.5  | -1239.1 |
|  6   |        sqrt(x)*exp(re(pow(Abs(a0 + x),a1))/2)       |     9      | 1.53e-09 |  -0.02   |   0.36   |    --   |   --   | -1257.9 |  17.5  |   10.0  | -1230.3 |
|  7   |            x + pow((pow(Abs(a0),x)/x),a1)           |     9      | 2.40e-10 |   1.87   |  -0.52   |    --   |   --   | -1250.6 |  14.5  |   7.6   | -1228.5 |
|  8   |               a1*x + sqrt(Abs(a0 + x))              |     8      | 1.82e-10 | -1.8e-03 |   0.72   |    --   |   --   | -1245.6 |  12.9  |   4.5   | -1228.2 |
|  9   |           pow(Abs(a0 + pow(x,(-1/4))),a1)           |     8      | 9.61e-11 |  -0.22   |  -2.14   |    --   |   --   | -1251.1 |  14.3  |   9.2   | -1227.6 |
